contrast,sensitivity,specificity,age,crude_rr_recorded,corrected_crude_rr,valid,sign_preserved,interpretation
primary,0.7,1,20,0.778122338828622,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,21,0.778647113645326,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,22,0.749739475190738,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,23,0.749591197456176,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,24,0.763083688156701,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,25,0.74721220877048,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,26,0.762487609664535,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,27,0.761723258020106,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,28,0.79916563570756,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,29,0.812946549651929,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,30,0.81287918171368,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,31,0.848702035076902,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,32,0.878581311402645,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,33,0.896979359186911,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,34,0.900694941979045,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,35,0.950341114237674,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,36,0.915277651446243,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,37,0.97398710218312,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,38,1.00905909220875,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,39,0.966530112507525,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,40,0.950736606208647,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,41,0.892357035869577,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,42,1.05299407316575,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,43,0.950261658717541,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,44,1.0427972027972,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.7,1,45,1.16022236973117,,FALSE,,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,15,1.06558231675529,1.16824687456277,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,16,0.836521739130435,0.69358074222668,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,17,0.903610561195863,0.780052206832563,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,18,0.876660402258511,0.721558133584642,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,19,0.788846996928108,0.599334447278366,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,20,0.778122338828622,0.572124382024734,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,21,0.778647113645326,0.549402479400895,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,22,0.749739475190738,0.499966243012826,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,23,0.749591197456176,0.479011646926868,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,24,0.763083688156701,0.474734396596668,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,25,0.74721220877048,0.433684986186091,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,26,0.762487609664535,0.437089255415503,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,27,0.761723258020106,0.425593313423321,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,28,0.79916563570756,0.461425925018556,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,29,0.812946549651929,0.483813219176938,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,30,0.81287918171368,0.479156967390552,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,31,0.848702035076902,0.544399872017016,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,32,0.878581311402645,0.604075635771692,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,33,0.896979359186911,0.643760689380737,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,34,0.900694941979045,0.657053754433985,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,35,0.950341114237674,0.794365953988419,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,36,0.915277651446243,0.690894141785668,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,37,0.97398710218312,0.868501932640598,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,38,1.00905909220875,1.05944551379017,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,39,0.966530112507525,0.804313331119529,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,40,0.950736606208647,0.723579225803583,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,41,0.892357035869577,0.429927745324756,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,42,1.05299407316575,2.36825867715916,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,43,0.950261658717541,0.763372825403527,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,44,1.0427972027972,1.41246733855916,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
primary,0.8,0.98,45,1.16022236973117,2.13592689909408,TRUE,TRUE,Non-differential recorded-exposure error corrected on the crude age-specific 2x2 table; the crude table is used because the correction is illustrative. Non-differential error cannot change the direction of an association; corrected estimates move away from the null in both directions.
